CHELMSFORD (ESSEX RIVERS HOUSE),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1288/2,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,2.09,1.85,4.20,1.20,1.27,1.07,,,,,,
February,2.00,0.90,0.89,0.72,1.40,2.29,,,,,,
March,2.79,2.00,0.28,0.12,0.93,1.30,,,,,,
April,1.28,0.88,1.21,1.43,0.81,1.36,,,,,,
May,1.18,1.92,1.29,1.06,1.75,1.77,,,,,,
June,0.62,0.19,1.28,1.60,1.19,2.16,,,,,,
July,4.44,1.40,1.50,2.25,1.98,2.39,,,,,,
August,4.17,2.38,1.25,2.07,1.47,3.37,,,,,,
September,0.38,1.25,1.70,2.40,1.28,1.63,,,,,,
October,1.01,2.85,1.40,3.38,1.82,0.72,,,,,,
November,2.26,2.10,1.23,3.30,0.60,2.34,,,,,,
December,1.18,2.15,1.35,1.28,2.61,1.90,,,,,,
Total,23.40,19.87,17.58,20.81,17.11,22.30,,,,,,
Calc annual,23.40,19.87,17.58,20.81,17.11,22.30,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
