IPSWICH WOODBRIDGE ROAD,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6808,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,,2.12,0.94,2.05,1.45,3.53,1.64,2.20,,
February,,,,1.79,0.88,1.08,2.65,1.92,1.19,3.34,,
March,,,,1.53,0.58,0.51,3.18,2.71,1.39,1.00,,
April,,,,0.88,1.43,1.43,1.64,1.95,1.09,2.47,,
May,,,,1.87,0.87,3.48,0.95,1.64,4.04,1.88,,
June,,,,2.09,1.15,3.29,1.81,0.80,0.65,,,
July,,,,1.89,0.88,5.06,1.41,3.37,0.06,,,
August,,,,1.13,0.79,0.82,1.19,2.50,2.19,,,
September,,,,2.64,2.01,2.57,3.23,0.91,1.15,,,
October,,,,2.28,2.47,4.08,1.10,1.36,1.54,,,
November,,,,1.54,2.40,5.67,3.51,3.43,4.75,,,
December,,,,0.51,1.75,1.83,3.99,2.26,1.35,,,
Total,,,,20.27,16.15,31.87,26.11,26.38,21.04,,,
Calc annual,0.00,0.00,0.00,20.27,16.15,31.87,26.11,26.38,21.04,10.89,,
Difference,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,-0.00,-0.00,NaN,,
