AUCHENBLAE (THE HOLLIES),,,,,,,,,,
Grid ref,NO726787,Long,-2.451436,Lat,56.898835,Elevation,325,ft,,
Station no,5615/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.21,4.4,2.74,4,2.22,6.04
February,,,,,2.93,1.99,2.98,3.58,0.31,3.51
March,,,,,2.29,1.68,2.6,5.9,1.68,1.9
April,,,,,0.64,1.28,1.19,2.54,2.41,2.19
May,,,,,2.63,0.83,1.93,3.53,1.87,0.81
June,,,,,1.14,2.95,1.53,2.03,2.61,1.66
July,,,,,0.8,4,5.44,7.03,2.27,3.63
August,,,,,0.53,5.94,7.25,5.29,0.64,4.16
September,,,,,1.83,4.7,1.85,2.57,0.64,3.18
October,,,,,3.85,2.65,1.66,1.66,4.19,12.13
November,,,,,2.8,1.24,1.62,0.74,7.52,6.24
December,,,,,5.68,4.55,3.85,5.36,6.72,2.37
Total,,,,,26.33,36.21,34.64,44.23,33.08,47.82
,,,,,,,,,,
BR 1957 NP no reason given,,,,,,,,,,
BR 1960 NP no reason given,,,,,,,,,,
,,,,,,,,,,
Station no,5615/6,,,,,,,,,
Midas,15015,,,,,,,,,
Hyd Stn,853894,,,,,,,,,
