WASHINGTON P.S.,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,490/5,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,3.61,3.35,7.33,2.73,1.87,3.53,3.36,5.77,1.54,0.64,,
February,4.13,0.37,1.92,0.51,2.77,3.82,3.33,1.74,1.52,5.28,,
March,2.94,2.67,0.45,0.18,1.22,1.42,7.47,0.97,1.11,1.43,,
April,1.89,1.21,1.85,1.91,1.37,2.32,1.92,1.58,1.77,1.87,,
May,2.12,3.26,1.77,0.51,1.98,2.98,1.28,2.56,1.94,,,
June,2.05,0.18,1.36,1.94,2.67,3.08,2.73,2.36,1.06,,,
July,3.19,1.96,2.22,2.69,4.27,3.27,1.48,1.81,0.32,,,
August,3.57,3.61,1.46,2.10,2.36,5.62,0.72,5.08,1.57,,,
September,0.42,2.61,1.29,2.15,2.65,4.90,1.30,2.81,2.07,,,
October,0.99,4.30,3.54,4.99,2.58,0.49,0.66,2.37,8.53,,,
November,3.96,1.84,2.15,6.16,0.18,5.72,1.49,2.74,3.79,,,
December,2.44,3.54,2.97,2.19,5.36,4.38,2.32,3.89,2.26,,,
Total,31.31,28.90,28.31,28.06,29.28,41.53,28.06,33.68,27.48,,,
Calc annual,31.31,28.90,28.31,28.06,29.28,41.53,28.06,33.68,27.48,9.22,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
