SWINDON (ASHFORD ROAD),,,,,,,,,,,,
Grid ref,SU148838,Long,-1.787936,Lat,51.552896,,,,,,,
Station no,1538/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,5.10,3.99,,
February,,,,,,,,,0.18,2.21,,
March,,,,,,,,,2.64,1.39,,
April,,,,,,,,,2.86,1.29,,
May,,,,,,,,,0.99,1.14,,
June,,,,,,,,,2.17,3.13,,
July,,,,,,,,,1.70,3.81,,
August,,,,,,,,,2.28,3.80,,
September,,,,,,,,,0.46,3.96,,
October,,,,,,,,,1.77,5.43,,
November,,,,,,,,,2.82,4.64,,
December,,,,,,,,,6.43,4.74,,
Total,,,,,,,,,29.40,39.53,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.40,39.53,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
