FLETCHING (SEARLES ESTATE OFFICE),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,511/6,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,6.30,2.54,1.87,2.88,,5.13,1.29,0.99,,
February,,,1.70,0.98,2.23,3.12,,1.61,1.50,4.49,,
March,,,0.37,0.12,1.47,1.35,,1.41,1.07,1.94,,
April,,,1.69,1.58,1.06,1.91,,1.26,1.37,2.17,,
May,,,3.09,0.97,2.52,2.30,1.80,2.57,1.43,1.15,,
June,,,1.54,1.49,1.58,3.44,2.69,3.40,1.01,0.97,,
July,,,2.15,2.35,5.94,1.72,3.04,1.35,0.01,2.83,,
August,,,1.32,2.40,2.81,6.74,0.27,5.84,2.09,2.33,,
September,,,2.45,2.81,2.64,3.31,2.01,2.20,1.13,2.99,,
October,,,3.36,5.62,2.66,1.22,0.80,2.04,8.78,0.50,,
November,,,1.62,4.88,0.30,5.63,1.42,0.94,3.72,6.67,,
December,,,2.19,2.45,4.55,3.68,3.34,4.71,1.46,2.44,,
Total,,,27.78,28.19,29.63,37.30,,32.46,24.86,29.47,,
Calc annual,0.00,0.00,27.78,28.19,29.63,37.30,15.37,32.46,24.86,29.47,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,NaN,0.00,0.00,-0.00,,
