INVERGARRY DAM,,,,,,,,,,
Grid ref,NH276022,Long,-4.845971,Lat,57.078436,Elevation,290,ft,,
Station no,5709/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,5.91,3.09,4.4
February,,,,,,,,2.76,3.05,4.25
March,,,,,,,4.13,1.15,3.27,0.85
April,,,,,,,1.93,3.51,4.46,5.29
May,,,,,,,1.62,5.87,1.25,2.05
June,,,,,,,2.85,2.27,4.26,2.33
July,,,,,,,4.3,2.61,5.57,2.83
August,,,,,,,6.09,4.71,3.38,5.05
September,,,,,,,3.44,3.95,1.33,3.12
October,,,,,,,7.2,7.57,7.46,1.13
November,,,,,,,1.62,1.61,7.53,4.98
December,,,,,,,9.5,5.64,8.6,7.04
Total,,,,,,,,47.56,53.25,43.32
,,,,,,,,,,
Station no,5709/9,,,,,,,,,
Midas,14632,,,,,,,,,
Hyd Stn,799626,,,,,,,,,
