"HIGHCLERE, BOXHALL COTTAGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,766,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,4.13,3.50,1.97,3.50,,,,,,,
February,,0.29,2.92,5.44,0.28,,,,,,,
March,,1.27,2.97,2.66,1.45,,,,,,,
April,,1.00,3.56,3.63,3.93,,,,,,,
May,,1.52,0.68,1.66,4.88,,,,,,,
June,,0.18,1.26,0.32,3.08,,,,,,,
July,,0.27,5.20,1.21,5.02,,,,,,,
August,,1.61,3.70,2.68,2.47,,,,,,,
September,,2.72,1.57,2.14,5.27,,,,,,,
October,,1.86,1.09,5.77,4.66,,,,,,,
November,,1.61,2.45,2.27,3.14,,,,,,,
December,,2.18,3.61,3.89,4.89,,,,,,,
Total,,18.64,32.51,33.64,42.57,,,,,,,
Calc annual,0.00,18.64,32.51,33.64,42.57,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,NaN,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,
