"RICHMOND, MARSKE HALL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7902,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,5.41,4.30,1.87,2.59,4.12,,,,,,
February,,0.12,3.30,6.51,1.04,4.88,,,,,,
March,,1.61,2.75,1.71,1.40,1.65,,,,,,
April,,1.33,3.33,2.80,1.62,4.79,,,,,,
May,,1.20,1.26,2.64,4.94,4.32,,,,,,
June,,0.29,1.60,0.98,2.71,0.18,,,,,,
July,,2.30,5.63,3.03,5.53,1.20,,,,,,
August,,4.34,2.70,3.28,2.44,3.42,,,,,,
September,,1.04,5.61,2.42,3.24,3.06,,,,,,
October,,1.95,1.41,3.69,4.02,3.49,,,,,,
November,,2.70,0.65,6.17,2.43,2.39,,,,,,
December,,3.64,4.63,2.86,5.45,4.90,,,,,,
Total,,25.93,37.17,37.96,37.41,38.40,,,,,,
Calc annual,0.00,25.93,37.17,37.96,37.41,38.40,0.00,0.00,0.00,0.00,0.00,
Difference,NaN,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,
