"BARNTON, EAST LOTHIAN",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4479,,,,,,,,,,,
,,,,,,,,,,,,
,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,,
January,,,,,,,,0.04,1.07,2.01,,
February,,,,,,,,0.08,2.03,4.02,,
March,,,,,,,,0.03,0.07,0.02,,
April,,,,,,,,0.42,3.00,1.38,,
May,,,,,,,,1.04,1.09,1.03,,
June,,,,,,,,0.06,2.06,4.08,,
July,,,,,,,,0.09,2.05,1.33,,
August,,,,,,,,2.06,7.05,6.60,,
September,,,,,,,,4.03,2.01,2.09,,
October,,,,,,,,4.02,2.00,1.02,,
November,,,,,,,,1.07,0.07,1.01,,
December,,,,,,,,0.08,1.09,2.08,,
Total,,,,,19.48,10.17,18.58,13.02,23.59,26.67,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.02,23.59,26.67,,
Difference,NaN,NaN,NaN,NaN,19.48,10.17,18.58,-0.00,0.00,0.00,,
