"ROSS GOODRICH",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2214,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,,,,4.67,2.08,,,,,
February,,,,,,2.27,2.88,,,,,
March,,,,,,1.34,3.59,,,,,
April,,,,,,1.92,2.65,,,,,
May,,,,,,2.34,0.71,,,,,
June,,,,,,2.96,0.74,,,,,
July,,,,,,7.00,1.13,,,,,
August,,,,,,2.12,3.12,,,,,
September,,,,,,2.53,6.84,,,,,
October,,,,,,5.63,2.53,,,,,
November,,,,,,5.30,4.98,,,,,
December,,,,,,1.62,7.68,,,,,
Total,,,,,,39.70,38.93,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,39.70,38.93,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,NaN,NaN,NaN,,
