HALESOWEN (FURNACE HILL),,,,,,,,,,,,
Grid ref,SO963841,Long,-2.055876,Lat,52.454840,,,,,,,
Station no,2416/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,1.35,2.53,2.94,5.72,,
February,,,,,,,2.91,4.93,0.25,2.63,,
March,,,,,,,2.18,1.04,2.44,1.64,,
April,,,,,,,0.11,0.60,3.46,1.14,,
May,,,,,,,1.52,2.15,1.28,1.41,,
June,,,,,,,2.38,4.40,1.29,2.81,,
July,,,,,,,4.20,4.12,1.93,3.24,,
August,,,,,,,3.44,2.21,2.02,3.90,,
September,,,,,,,4.87,4.98,0.13,5.32,,
October,,,,,,,1.60,2.01,2.99,6.18,,
November,,,,,,,2.18,2.16,4.14,4.27,,
December,,,,,,,2.42,3.21,5.00,3.33,,
Total,,,,,,,29.16,34.34,27.87,41.59,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,29.16,34.34,27.87,41.59,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,,
