MICHAELCHURCH EXLEY (MARSH FARM),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2224/5,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,10.71,4.58,3.32,5.82,,,,,,
February,,,2.89,1.01,4.22,4.51,,,,,,
March,,,1.37,0.48,1.75,1.26,,,,,,
April,,,1.32,1.82,1.92,2.53,,,,,,
May,,,5.50,1.11,3.68,4.50,,,,,,
June,,,3.19,2.63,4.72,,,,,,,
July,,,1.85,1.96,3.38,,,,,,,
August,,,3.03,4.67,4.82,,,,,,,
September,,,5.17,4.24,2.92,,,,,,,
October,,3.30,3.95,7.94,7.17,,,,,,,
November,,0.93,3.68,7.77,1.04,,,,,,,
December,,6.88,3.69,4.23,7.46,,,,,,,
Total,,,46.35,42.44,46.40,,,,,,,
Calc annual,0.00,11.11,46.35,42.44,46.40,18.62,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
