"MALIN HEAD (C.GUARD STATION)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,6256/1,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,3.98,3.97,3.81,4.01,2.34,4.45,5.56,5.07,3.02,2.63,,
February,4.26,0.14,3.96,0.39,3.17,1.39,3.85,1.46,3.85,2.91,,
March,1.06,1.95,2.31,3.81,1.34,2.09,0.96,2.33,3.78,4.98,,
April,2.20,3.87,1.55,2.58,3.03,0.80,1.94,0.52,1.69,4.12,,
May,2.43,1.66,1.94,2.54,1.22,0.85,2.17,2.58,1.31,1.67,,
June,5.25,1.10,1.83,4.13,3.19,1.72,2.06,4.95,2.03,1.37,,
July,2.98,5.14,4.33,2.84,1.89,5.22,4.80,3.89,4.43,3.41,,
August,1.39,1.64,3.75,4.89,2.96,2.94,3.13,2.65,1.80,2.27,,
September,3.06,3.29,0.54,6.43,5.22,4.11,4.41,3.67,2.73,2.76,,
October,3.99,5.58,3.77,6.60,7.82,3.81,1.57,7.07,2.14,3.62,,
November,4.82,4.04,2.11,1.51,3.73,5.82,2.59,6.35,5.22,5.06,,
December,2.81,3.89,1.83,4.64,3.31,3.47,2.54,4.96,2.97,5.43,,
Total,38.23,36.27,31.73,44.37,39.22,36.67,35.58,45.50,34.97,40.23,,
Calc annual,38.23,36.27,31.73,44.37,39.22,36.67,35.58,45.50,34.97,40.23,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
