"KINFAUNS CASTLE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,,
January,,1.45,0.72,1.05,0.60,0.70,1.52,1.42,2.45,2.49,,
February,,2.63,2.16,2.66,0.63,1.50,0.60,1.50,0.86,1.40,,
March,,0.90,0.86,0.41,0.85,1.50,1.00,0.90,1.62,0.80,,
April,,1.91,1.38,0.73,1.75,1.04,0.76,0.40,1.03,3.45,,
May,,3.12,1.41,2.50,0.75,2.22,1.80,2.80,1.67,0.92,,
June,,2.20,2.89,1.07,0.57,0.71,1.16,4.08,1.34,1.96,,
July,,2.86,2.56,2.44,1.72,1.80,3.00,3.00,3.20,0.95,,
August,,2.71,2.38,0.63,2.60,1.52,2.80,4.00,0.70,1.25,,
September,,1.78,1.06,1.72,0.57,1.69,2.27,0.77,1.99,1.30,,
October,,4.41,3.18,1.70,1.02,2.42,1.55,1.05,1.40,3.88,,
November,,2.97,3.50,1.47,2.30,1.25,1.50,2.30,2.22,1.50,,
December,,1.80,0.65,0.95,2.23,1.35,1.65,1.34,1.41,1.32,,
Total,,28.74,22.75,17.33,15.59,17.70,19.61,23.56,19.89,21.22,,
Calc annual,0.00,28.74,22.75,17.33,15.59,17.70,19.61,23.56,19.89,21.22,,
Difference,NaN,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
