DINSLEY WOODMANCOTE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6306,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,1.96,1.05,4.33,5.82,1.12,3.67,3.31,1.22,2.92,4.18,,
February,4.01,1.84,2.48,1.36,3.58,4.31,4.68,1.30,1.84,3.46,,
March,0.62,1.96,5.40,4.03,4.14,1.35,3.85,2.80,1.68,5.84,,
April,2.44,0.77,0.07,3.70,1.39,1.12,1.14,1.73,2.44,2.19,,
May,1.96,1.17,2.71,2.69,1.17,3.43,3.19,3.15,1.29,0.23,,
June,4.29,3.04,5.91,0.45,2.64,0.83,1.85,3.62,0.96,1.43,,
July,2.54,0.50,5.60,0.71,3.59,4.75,1.42,2.28,4.32,3.32,,
August,6.06,1.26,7.95,0.82,2.30,2.54,5.28,9.14,1.93,2.82,,
September,0.53,1.84,0.86,3.53,1.80,1.70,1.14,3.30,7.63,1.78,,
October,4.12,2.68,4.47,2.72,2.03,4.08,6.61,4.49,1.75,2.21,,
November,4.23,3.25,1.98,3.15,3.87,1.80,2.92,0.74,2.44,2.07,,
December,5.46,5.63,6.15,1.22,7.05,5.91,3.74,0.91,3.31,4.15,,
Total,38.22,24.99,47.91,30.20,34.68,35.49,39.13,34.68,32.51,33.68,,
Calc annual,38.22,24.99,47.91,30.20,34.68,35.49,39.13,34.68,32.51,33.68,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,,
