LOCHMORE LODGE,,,,,,,,,,,,
Grid ref,NC299386,Long,-4.904444,Lat,58.302945,,,,,,,
Station no,5804/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,8.00,5.65,,
February,,,,,,,,,2.54,4.70,,
March,,,,,,,,,2.88,1.65,,
April,,,,,,,,,5.45,5.34,,
May,,,,,,,,,7.37,1.81,,
June,,,,,,,,,6.76,4.12,,
July,,,,,,,,,8.61,3.68,,
August,,,,,,,,,7.09,4.24,,
September,,,,,,,,,3.97,2.86,,
October,,,,,,,,,9.43,2.27,,
November,,,,,,,,,9.08,4.44,,
December,,,,,,,,,4.92,10.16,,
Total,,,,,,,,,76.10,50.92,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.10,50.92,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
