"WITHERNSEA (HIGH SCHOOL)",,,,,,,,,,,,
Grid ref,TA337282,Long,0.025322,Lat,53.733059,,,,,,,
Station no,3403/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.11,1.94,0.96,1.45,1.33,4.67,1.23,1.97,2.68,4.01,,
February,2.58,1.02,1.78,2.16,2.21,1.64,1.92,3.54,0.28,2.00,,
March,2.64,2.51,0.48,2.25,2.28,0.54,1.24,1.67,1.61,0.99,,
April,1.74,1.15,1.98,0.33,0.92,1.01,0.48,0.63,1.94,1.27,,
May,2.92,1.10,2.21,2.48,3.88,0.65,1.12,1.99,0.33,1.02,,
June,1.47,1.97,2.09,1.72,1.75,2.40,1.86,2.99,1.65,0.29,,
July,1.49,0.70,1.73,1.76,0.65,2.86,3.10,3.24,2.53,2.17,,
August,4.67,2.31,2.19,4.90,0.45,2.34,3.00,2.04,0.22,2.31,,
September,0.89,3.53,0.70,1.87,1.27,1.00,3.37,1.53,0.09,2.10,,
October,1.07,2.51,2.11,3.75,1.04,0.98,1.68,1.40,2.07,4.92,,
November,2.90,3.40,1.21,3.77,1.00,1.11,1.89,0.55,2.96,3.87,,
December,1.60,1.86,1.34,2.19,2.13,1.23,2.04,2.39,4.17,3.18,,
Total,26.08,24.00,18.78,28.63,18.91,20.43,22.93,23.94,20.53,28.13,,
Calc annual,26.08,24.00,18.78,28.63,18.91,20.43,22.93,23.94,20.53,28.13,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
