"STAMFORD ST GEORGES SQUARE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2526/8,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,1.98,1.11,3.15,2.58,1.34,1.81,0.95,2.18,1.88,3.68,,
February,2.39,1.02,1.42,0.84,0.90,2.34,3.81,0.58,1.04,2.43,,
March,0.54,1.48,2.11,2.62,2.39,0.98,4.27,1.44,0.71,3.42,,
April,1.48,0.80,0.08,1.71,0.92,0.61,1.05,1.42,1.85,1.69,,
May,3.40,1.25,2.63,2.41,1.07,2.39,2.38,1.24,1.76,1.41,,
June,0.98,1.56,3.43,1.58,2.77,2.07,2.04,1.92,0.38,0.89,,
July,2.05,0.51,5.48,0.74,1.67,3.92,1.78,1.10,2.41,3.27,,
August,2.51,1.49,6.04,1.62,1.22,1.88,3.09,6.41,0.97,2.32,,
September,1.09,1.42,0.92,1.73,0.42,0.61,0.89,1.21,4.36,1.30,,
October,1.70,1.93,3.16,2.65,2.69,1.25,1.60,2.49,1.42,1.42,,
November,2.79,1.98,1.38,2.14,2.15,2.86,3.15,0.73,2.05,2.19,,
December,5.64,4.00,2.64,0.83,4.18,4.16,2.77,0.49,1.92,3.64,,
Total,26.55,18.55,32.44,21.45,21.72,24.88,27.78,21.21,20.75,27.66,,
Calc annual,26.55,18.55,32.44,21.45,21.72,24.88,27.78,21.21,20.75,27.66,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
