CORBY (BIRKHOLME LODGE),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2530/2,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,2.59,2.12,4.31,2.12,2.30,1.62,,,,,,
February,2.69,1.12,0.54,1.84,1.62,3.57,,,,,,
March,3.44,1.45,0.67,0.18,0.51,1.20,,,,,,
April,1.45,0.71,0.78,2.30,1.11,1.39,,,,,,
May,2.51,2.85,2.08,1.39,1.45,2.07,,,,,,
June,0.49,1.03,1.22,2.37,1.76,,,,,,,
July,5.25,1.89,1.30,2.41,1.74,,,,,,,
August,3.78,2.88,2.08,3.13,2.21,,,,,,,
September,0.55,1.29,1.85,3.65,0.85,,,,,,,
October,2.36,2.29,1.71,2.11,3.11,,,,,,,
November,2.87,2.31,1.42,3.92,0.38,,,,,,,
December,0.58,0.94,0.89,1.35,2.66,,,,,,,
Total,28.56,20.88,18.85,26.77,19.70,,,,,,,
Calc annual,28.56,20.88,18.85,26.77,19.70,9.85,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
