"DUART, MULL",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR1146,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,,,,,,,,6.60,16.35,,,
February,,,,,,,,9.54,14.90,,,
March,,,,,,,,2.45,11.35,,,
April,,,,,,,,12.22,5.44,,,
May,,,,,,,,3.31,3.73,,,
June,,,,,,,,2.80,5.65,,,
July,,,,,,,,4.29,2.15,,,
August,,,,,,,,7.73,11.36,,,
September,,,,,,,,6.34,2.14,,,
October,,,,,,,,13.17,10.32,,,
November,,,,,,,,3.03,7.47,,,
December,,,,,,,,6.48,13.33,,,
Total,,,,,,,,77.96,104.19,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.96,104.19,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,NaN,,
