"WARK (STONEHAUGH)",,,,,,,,,,,,
Grid ref,NY763796,Long,-2.373042,Lat,55.110230,,,,,,,
Station no,3577/9/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,3.44,3.21,4.43,2.09,2.11,3.91,,
February,,,,,1.85,1.91,2.85,3.92,0.93,4.24,,
March,,,,,1.39,1.36,3.08,2.20,1.32,2.02,,
April,,,,,1.09,1.00,0.82,1.11,2.62,2.21,,
May,,,,,2.67,1.33,1.37,3.57,0.38,1.77,,
June,,,,2.83,2.07,3.10,1.33,2.68,3.21,1.17,,
July,,,,3.76,1.61,2.64,3.73,4.88,3.20,4.14,,
August,,,,5.48,1.38,9.24,3.53,3.30,0.57,2.96,,
September,,,,7.03,2.81,3.59,3.64,4.00,0.83,1.32,,
October,,,,9.01,2.46,2.88,3.34,2.64,3.27,4.00,,
November,,,,3.60,1.25,1.39,1.04,1.07,4.71,4.78,,
December,,,,6.37,5.66,3.60,2.64,3.40,5.49,4.88,,
Total,,,,,27.68,35.25,31.80,34.86,28.64,37.40,,
Calc annual,0.00,0.00,0.00,38.08,27.68,35.25,31.80,34.86,28.64,37.40,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
