HUISH CHAMPFLOWER,,,,,,,,,,,,
Grid ref,ST047287,Long,-3.360954,Lat,51.049714,,,,,,,
Station no,2072/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,6.10,4.87,,
February,,,,,,,,,0.35,5.01,,
March,,,,,,,,,4.17,3.02,,
April,,,,,,,,,4.28,3.70,,
May,,,,,,,,,0.96,2.49,,
June,,,,,,,,,1.85,2.38,,
July,,,,,,,,,2.61,4.63,,
August,,,,,,,,,3.00,4.28,,
September,,,,,,,,,0.34,5.73,,
October,,,,,,,,,5.01,13.46,,
November,,,,,,,,,8.00,6.01,,
December,,,,,,,,,9.96,7.73,,
Total,,,,,,,,,46.63,63.31,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.63,63.31,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
