AISTHORPE HALL,,,,,,,,,,,,
Grid ref,SK945805,Long,-0.583055,Lat,53.313013,,,,,,,
Station no,RR6516,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.21,0.98,1.06,1.88,2.02,,,,,,,
February,3.08,1.78,1.84,0.66,2.98,,,,,,,
March,0.51,2.19,1.64,2.99,1.76,,,,,,,
April,1.25,1.61,1.88,1.45,0.94,,,,,,,
May,1.80,0.27,3.77,3.03,2.06,,,,,,,
June,2.20,1.47,2.80,1.18,0.40,,,,,,,
July,1.90,4.31,1.63,2.46,4.20,,,,,,,
August,5.26,2.07,2.88,6.56,3.62,,,,,,,
September,1.15,1.06,0.72,4.50,1.91,,,,,,,
October,1.93,1.89,2.97,6.13,0.41,,,,,,,
November,2.43,2.63,1.42,1.71,0.71,,,,,,,
December,3.00,4.64,1.74,0.97,1.54,,,,,,,
Total,27.72,24.90,24.35,33.52,22.55,,,,,,,
Calc annual,27.72,24.90,24.35,33.52,22.55,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
