"ECCLESTON, ELSWICK LODGE FIELD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR2295,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,5.21,1.61,3.10,1.86,3.03,2.70,1.88,1.45,3.58,4.64,,
February,0.73,0.23,2.12,4.63,5.08,0.31,1.51,3.12,2.33,2.16,,
March,3.73,0.98,0.99,0.76,2.70,3.82,4.64,4.30,0.53,2.93,,
April,1.21,2.14,1.18,0.40,1.15,2.35,1.82,3.03,2.37,3.53,,
May,2.36,1.81,4.20,1.68,2.53,0.58,0.45,1.61,3.37,3.18,,
June,3.40,1.87,2.87,1.12,3.76,1.80,3.07,5.96,1.91,1.88,,
July,3.07,2.74,1.57,3.71,2.29,4.13,5.58,1.67,0.48,2.07,,
August,5.47,9.76,5.92,3.76,5.05,4.28,3.39,4.21,5.81,1.69,,
September,4.15,5.81,4.84,4.77,0.50,1.35,5.21,3.78,1.36,5.55,,
October,3.01,3.74,4.61,5.90,3.66,4.79,4.40,2.22,3.85,3.66,,
November,6.26,4.59,3.16,2.04,3.86,3.23,1.58,5.61,4.36,2.68,,
December,0.70,6.37,2.32,3.69,3.70,3.57,5.31,3.69,4.34,3.37,,
Total,39.30,41.65,36.88,34.32,37.31,32.91,38.84,40.65,34.29,37.34,,
Calc annual,39.30,41.65,36.88,34.32,37.31,32.91,38.84,40.65,34.29,37.34,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
