"ROCHDALE (MOSS COTTAGE)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR2215,,,,,,,,,,,
,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,,
January,,,,,,,4.92,2.21,2.55,6.99,,
February,,,,,,,1.93,3.70,8.60,2.21,,
March,,,,,,,2.83,1.45,4.99,0.95,,
April,,,,,,,4.80,2.91,1.95,1.57,,
May,,,,,,,1.58,5.43,1.42,2.64,,
June,,,,,,,3.35,3.44,5.38,1.94,,
July,,,,,,,5.51,2.08,4.17,6.42,,
August,,,,,,,4.20,1.74,7.04,3.21,,
September,,,,,,,1.92,3.40,3.26,4.52,,
October,,,,,,,5.77,6.96,7.18,,,
November,,,,,,,2.58,4.72,2.52,,,
December,,,,,,,2.60,6.97,3.95,,,
Total,,,,,,,41.99,47.01,53.01,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,41.99,45.01,53.01,30.45,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,2.00,0.00,NaN,,
