SOYLAND MOOR (TURVIN I),,,,,,,,,,,,
Grid ref,SD984197,Long,-2.025695,Lat,53.673768,,,,,,,
Station no,3222/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,4.79,1.65,4.32,3.57,6.04,5.83,4.86,4.28,5.82,,
February,,1.19,2.91,3.19,2.87,1.60,3.58,7.78,0.75,3.43,,
March,,3.55,2.60,3.16,3.00,1.90,4.47,2.59,2.77,1.72,,
April,,3.93,3.90,-999.00,2.65,3.21,0.62,1.58,4.46,3.61,,
May,,2.18,3.57,3.62,4.20,1.84,2.09,5.51,2.63,2.56,,
June,,3.72,3.30,4.01,3.64,3.73,3.03,6.10,2.19,1.94,,
July,,2.51,7.13,6.32,1.28,8.30,6.15,5.91,3.23,8.18,,
August,,5.79,5.88,8.00,1.34,11.84,7.08,6.55,0.61,5.92,,
September,,3.58,3.99,6.48,3.39,5.04,6.05,7.00,0.91,3.59,,
October,1.64,5.83,2.58,10.19,3.38,3.23,6.73,5.65,5.11,5.88,,
November,10.71,2.34,6.18,7.70,2.98,1.75,3.77,2.25,6.17,9.65,,
December,8.20,4.14,2.17,7.35,7.21,4.60,6.30,5.36,9.67,5.56,,
Total,,43.55,45.86,65.08,39.51,53.08,55.70,61.14,42.78,57.86,,
Calc annual,20.55,43.55,45.86,64.34,39.51,53.08,55.70,61.14,42.78,57.86,,
Difference,NaN,0.00,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,,
