SHOTLEY PARK,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8850,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,,1.87,0.95,2.80,3.98,,,,,,,
February,,2.90,1.65,2.64,1.37,,,,,,,
March,,2.76,1.96,2.14,2.64,,,,,,,
April,,1.11,2.86,1.83,2.50,,,,,,,
May,,0.45,0.81,2.34,1.66,,,,,,,
June,,2.86,4.48,2.14,0.93,,,,,,,
July,,2.84,2.56,3.97,4.01,,,,,,,
August,,6.63,3.47,1.80,0.59,,,,,,,
September,,4.43,2.33,4.81,1.63,,,,,,,
October,,4.15,4.19,2.36,2.05,,,,,,,
November,,2.27,3.32,1.55,1.56,,,,,,,
December,,2.70,3.89,2.00,1.50,,,,,,,
Total,,34.97,32.47,30.38,24.42,,,,,,,
Calc annual,0.00,34.97,32.47,30.38,24.42,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
