"INVERNESS ROYAL ACADEMY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,,
January,0.81,0.96,,,,,,,,,,
February,1.42,2.58,,,,,,,,,,
March,2.33,2.39,,,,,,,,,,
April,1.89,1.47,,,,,,,,,,
May,1.23,1.34,,,,,,,,,,
June,2.68,1.18,,,,,,,,,,
July,5.28,2.07,,,,,,,,,,
August,2.32,1.51,,,,,,,,,,
September,3.36,2.05,,,,,,,,,,
October,1.07,-999.00,,,,,,,,,,
November,3.78,3.79,,,,,,,,,,
December,2.40,1.99,,,,,,,,,,
Total,28.57,23.14,,,,,,,,,,
Calc annual,28.57,21.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,1.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
