"KELLS MANSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,,
January,,2.27,2.45,3.31,,,,,,,,
February,,2.00,3.94,6.31,,,,,,,,
March,2.52,4.32,7.90,,,,,,,,,
April,4.32,2.65,2.14,,,,,,,,,
May,3.28,0.70,2.92,,,,,,,,,
June,2.45,4.29,3.34,,,,,,,,,
July,3.65,1.96,2.50,,,,,,,,,
August,3.48,3.31,3.20,,,,,,,,,
September,9.24,4.29,1.37,,,,,,,,,
October,2.50,8.11,6.54,,,,,,,,,
November,5.58,6.46,5.32,,,,,,,,,
December,2.76,7.44,4.25,,,,,,,,,
Total,,47.80,45.87,,,,,,,,,
Calc annual,39.78,47.80,45.87,9.62,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
