DEVIZES (SOUTHBROOM VICARAGE),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7100,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.77,3.12,3.18,1.57,3.89,2.96,,,,,,
February,0.98,0.44,3.09,5.36,0.21,4.10,,,,,,
March,2.22,1.40,2.49,2.20,1.13,0.40,,,,,,
April,5.29,0.67,3.37,2.35,3.25,2.00,,,,,,
May,2.35,1.97,0.75,1.15,5.45,3.57,,,,,,
June,2.25,0.26,1.46,0.43,2.53,0.04,,,,,,
July,5.45,0.42,3.32,1.00,3.86,4.51,,,,,,
August,1.25,1.06,3.93,3.38,2.83,2.10,,,,,,
September,1.39,1.81,1.89,4.40,3.58,3.40,,,,,,
October,2.41,1.07,1.38,5.78,5.42,3.26,,,,,,
November,1.51,2.05,1.38,1.96,2.88,2.06,,,,,,
December,2.36,1.82,3.83,3.70,4.94,3.24,,,,,,
Total,31.23,16.09,30.07,33.28,39.97,31.64,,,,,,
Calc annual,31.23,16.09,30.07,33.28,39.97,31.64,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,
