"DEVIZES, SOUTHBROOM HOUSE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7099,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,1.00,4.57,4.45,,,,,,,,
February,,2.27,2.28,1.39,,,,,,,,
March,,2.51,4.72,3.21,,,,,,,,
April,,1.13,0.07,3.42,,,,,,,,
May,,0.86,1.67,3.00,,,,,,,,
June,,1.69,3.71,0.83,,,,,,,,
July,,0.01,2.83,1.55,,,,,,,,
August,,1.15,5.32,2.10,,,,,,,,
September,,0.77,1.50,2.29,,,,,,,,
October,,2.02,3.89,2.92,,,,,,,,
November,,3.26,2.27,2.77,,,,,,,,
December,,6.72,5.07,1.90,,,,,,,,
Total,36.17,23.39,37.90,29.83,,,,,,,,
Calc annual,0.00,23.39,37.90,29.83,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,36.17,0.00,-0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
