"ASHBURTON, LEUSDON LODGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8865,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,3.08,8.05,10.11,9.52,8.54,9.96,4.01,,
February,,,,14.27,3.02,7.45,4.95,3.97,4.77,3.49,,
March,,,,2.78,3.83,0.85,1.35,6.60,8.17,0.36,,
April,,,,5.20,5.48,4.92,2.83,2.91,3.33,0.87,,
May,,,0.48,2.91,6.81,5.85,1.90,0.80,1.39,5.27,,
June,,,1.07,0.19,3.21,0.00,5.32,3.03,3.41,2.60,,
July,,,5.12,1.50,5.70,4.26,1.53,5.98,2.13,2.04,,
August,,,3.83,3.99,4.80,3.38,2.41,4.88,3.02,2.79,,
September,,,3.63,4.68,6.87,5.18,1.80,6.11,1.83,0.77,,
October,,,1.69,9.88,9.63,6.83,3.96,3.44,10.35,9.01,,
November,,,4.34,3.95,7.12,5.13,10.96,4.47,10.01,20.12,,
December,,,10.02,5.11,9.54,8.41,0.79,7.54,7.43,15.01,,
Total,,,,57.54,74.06,62.37,47.32,58.27,65.80,66.34,,
Calc annual,0.00,0.00,30.18,57.54,74.06,62.37,47.32,58.27,65.80,66.34,0.00,
Difference,NaN,NaN,NaN,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,NaN,
