HADDINGTON (BEECH HILL),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5096/5,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,,,2.60,2.94,2.34,6.26,1.50,,
February,,,,,,3.49,2.50,0.61,1.62,1.44,,
March,,,,,,2.18,4.05,0.38,3.07,2.69,,
April,,,,,2.28,1.45,0.83,0.08,1.01,1.37,,
May,,,,,1.02,1.17,3.32,2.40,1.76,1.47,,
June,,,,,3.08,1.81,0.94,3.21,3.61,0.70,,
July,,,,,0.96,3.21,3.74,3.15,2.53,8.73,,
August,,,,,2.98,1.92,3.69,2.17,1.31,0.68,,
September,,,,,1.71,3.75,0.88,2.16,1.70,2.78,,
October,,,,,6.29,1.21,3.36,4.88,3.17,3.39,,
November,,,,,3.40,2.40,0.84,3.43,2.82,4.08,,
December,,,,,1.27,0.98,4.80,3.19,1.13,2.11,,
Total,,,,,,26.17,31.89,28.00,29.99,30.94,,
Calc annual,0.00,0.00,0.00,0.00,22.99,26.17,31.89,28.00,29.99,30.94,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
