"CALDER BRIDGE, PONSONBY OLD PARSONAGE",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8711,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,6.20,3.85,3.89,5.03,2.75,,,,,,
February,,0.28,4.34,5.20,1.28,5.30,,,,,,
March,,5.01,2.41,1.52,1.58,1.36,,,,,,
April,,1.58,1.72,3.84,2.49,3.49,,,,,,
May,,2.94,3.60,2.80,5.59,7.71,,,,,,
June,,0.71,2.47,1.82,4.52,0.55,,,,,,
July,,4.45,6.20,5.18,7.30,2.41,,,,,,
August,,7.48,5.25,8.84,4.50,5.19,,,,,,
September,,2.20,2.37,6.81,6.65,4.05,,,,,,
October,,2.84,2.93,9.68,4.36,6.01,,,,,,
November,,2.90,3.31,5.16,3.71,2.50,,,,,,
December,,5.04,5.71,5.99,8.08,3.50,,,,,,
Total,,41.63,44.16,60.73,55.09,44.82,,,,,,
Calc annual,0.00,41.63,44.16,60.73,55.09,44.82,0.00,0.00,0.00,0.00,0.00,
Difference,NaN,0.00,-0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,
