BROOMFIELD (HIGHER MERRIDGE),,,,,,,,,,,,
Grid ref,ST208339,Long,-3.132461,Lat,51.098913,,,,,,,
Station no,2076/9/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,3.76,3.33,,4.39,3.64,,
February,,,,,,0.24,4.76,,0.29,3.74,,
March,,,,,1.32,0.69,2.74,,3.57,2.41,,
April,,,,,0.98,1.90,0.12,,3.30,2.81,,
May,,,,,4.67,0.55,1.64,,0.85,1.51,,
June,,,,,3.39,1.64,2.77,,1.06,1.23,,
July,,,,,1.36,3.78,3.01,,2.08,4.79,,
August,,,,,0.73,2.90,3.66,,1.15,4.18,,
September,,,,,2.11,6.38,4.50,,0.14,4.40,,
October,,,,,1.65,2.42,2.37,,4.08,11.70,,
November,,,,,3.55,0.56,2.18,,5.78,4.20,,
December,,,,,5.88,4.88,2.48,,7.24,4.63,,
Total,,,,,,29.67,33.56,,33.93,49.24,,
Calc annual,0.00,0.00,0.00,0.00,25.64,29.70,33.56,0.00,33.93,49.24,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.03,0.00,NaN,-0.00,0.00,,
