TURVEY RECTORY,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1181/7,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,,1.27,1.51,1.23,1.59,3.50,0.93,0.57,,
February,,,,0.82,1.21,1.95,1.77,0.77,0.97,3.32,,
March,,,,0.09,0.65,1.16,4.96,0.82,1.36,0.80,,
April,,,,1.88,0.69,1.24,1.65,1.44,1.31,1.99,,
May,,,,1.04,1.75,2.38,1.06,3.94,2.88,,,
June,,,,2.41,1.72,1.99,1.31,2.02,1.26,,,
July,,,,1.63,1.46,1.65,1.37,1.12,1.09,,,
August,,,,2.55,1.24,3.22,0.03,3.86,0.87,,,
September,,,,2.05,2.44,3.74,1.06,2.51,1.21,,,
October,,,,2.52,3.18,1.60,0.21,2.81,3.93,,,
November,,,1.02,2.60,0.38,4.56,1.63,1.37,2.34,,,
December,,,0.78,0.79,2.78,1.88,2.21,2.20,1.21,,,
Total,,,,19.65,19.01,26.60,18.85,26.36,19.36,,,
Calc annual,0.00,0.00,1.80,19.65,19.01,26.60,18.85,26.36,19.36,6.68,,
Difference,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
