"WEST KIRBY HILBRE ROAD",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2802,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,2.55,0.46,3.46,2.63,0.99,3.01,1.16,1.63,1.35,,,
February,2.01,1.92,0.99,0.60,1.24,1.98,2.99,1.75,1.98,,,
March,0.68,0.99,3.01,2.75,2.37,1.31,1.80,2.69,0.81,,,
April,2.85,1.25,0.28,2.31,0.36,1.98,1.69,1.30,1.35,,,
May,1.70,0.54,1.48,2.22,1.65,1.11,3.47,3.19,2.49,,,
June,3.39,2.02,2.59,2.31,1.76,0.74,1.27,1.81,1.99,,,
July,3.07,0.62,2.78,1.55,4.69,3.17,1.06,0.97,3.30,,,
August,2.86,2.72,6.00,1.71,1.26,4.12,2.44,5.75,2.38,,,
September,0.30,1.88,1.06,2.33,2.74,0.88,2.89,0.97,6.90,,,
October,3.30,2.21,2.53,2.64,1.53,1.86,3.43,5.17,2.24,,,
November,5.33,1.79,2.39,2.64,2.78,2.68,2.10,2.17,1.62,,,
December,2.60,3.42,2.28,1.98,4.69,4.85,1.82,1.36,5.45,,,
Total,30.64,19.82,28.85,25.67,26.06,27.69,26.12,28.76,31.86,,,
Calc annual,30.64,19.82,28.85,25.67,26.06,27.69,26.12,28.76,31.86,0.00,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,NaN,,
