STRATHVAICH SCHOOLHOUSE,,,,,,,,,,
Grid ref,NH373710,Long,-4.731713,Lat,57.699282,Elevation,700,ft,,
Station no,5775/2/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,6.54,4.41,5.22,3.8,5.89,7.38,4.57,3.81,
February,,4.19,4.18,3.38,3.53,3.95,3.85,5.09,2.58,
March,,2.9,2.14,4.24,1.67,2.16,3.82,1.96,2.63,
April,,1.6,2.81,2.2,1.92,3.05,1.85,3.15,4.58,
May,,3.22,3.67,4.68,2.93,4.92,1.56,5.05,1.55,
June,,3.13,2.59,2.35,1.51,2.11,2.52,2.63,3.35,
July,,1.93,4.17,3.43,1.24,3.97,5.1,1.69,4.6,
August,,4.49,3.37,1.83,0.52,5.69,6.18,3.71,2.56,
September,,3.77,4,4.86,4.78,3.44,3.9,3.22,1.2,
October,1.96,5.75,1.75,7.62,6.33,5.46,5.95,6.02,5.93,
November,,5.38,6.98,5.02,1.74,6.19,2.93,1.61,6.45,
December,,5.02,4.72,13.91,11.16,6.68,10.6,5.32,4.87,
Total,,47.92,44.79,58.74,41.13,53.51,55.64,44.02,44.11,
,,,,,,,,,,
Station no,5775/2/6,,,,,,,,,
Midas,14550,,,,,,,,,
Hyd stn,791187,,,,,,,,,
