TONBRIDGE-QUARRY-RISE,,,,,,,,,,
Grid ref,TQ584454,Long,0.26513464,Lat,51.185884,Elevation,150,ft,,
Station no,346/7,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,2.81,5.57,2.05,1.93,2.02,2.45,4.47,,
February,,1.46,1.76,1.09,1.85,3.85,1.5,,,
March,,2.42,0.47,0.16,1.6,1.81,4.7,,,
April,,1.44,1.44,1.64,1.37,2.01,,,,
May,,3.38,2.71,0.47,2.76,2.27,,,,
June,1.74,0.23,1.79,,1.65,1.67,,,,
July,2.51,2.07,2.14,2.19,3.81,2.47,,,,
August,3.62,2.5,1.47,2.57,1.77,4.4,,,,
September,0.5,2.22,1.44,2.4,1.63,3.8,,,,
October,1.19,3.45,3.12,4.61,2.86,1.4,,,,
November,3.39,1.42,1.69,4.6,0.26,5.17,,,,
December,1.89,2.41,2.33,2.45,4.28,2.87,,,,
Total,,25.81,25.93,,25.77,33.74,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Snow estimates kept,,,,,,,,,,
1944 Jun estimated,,,,,,,,,,
