GLASGOW (RIDDRIE),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5175,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,3.06,7.46,3.82,4.60,2.01,4.77,3.48,6.16,4.54,,,
February,3.54,0.04,3.07,0.40,5.12,2.48,5.27,1.79,5.84,,,
March,1.31,2.23,2.24,2.79,2.05,3.03,1.57,3.21,3.20,,,
April,1.65,3.18,1.88,3.97,2.94,1.07,2.09,0.60,1.75,,,
May,4.64,3.04,2.21,2.41,0.84,1.46,1.64,3.83,1.16,,,
June,4.94,0.72,1.68,2.41,4.77,1.73,2.42,5.67,1.74,,,
July,5.53,4.03,3.53,2.54,1.55,3.20,2.80,4.40,4.28,,,
August,2.57,1.58,2.97,5.64,2.88,4.08,3.53,2.44,1.62,,,
September,1.34,4.41,0.89,4.58,4.93,4.11,2.10,3.44,2.21,,,
October,3.14,5.70,2.46,5.96,9.04,4.42,3.72,8.00,2.61,,,
November,5.97,3.15,1.56,1.29,3.19,4.56,0.46,8.39,7.40,,,
December,3.12,6.91,0.63,4.06,3.01,6.31,2.16,2.98,2.28,,,
Total,40.81,42.45,26.94,40.65,42.33,41.22,31.24,50.91,38.63,,,
Calc annual,40.81,42.45,26.94,40.65,42.33,41.22,31.24,50.91,38.63,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,NaN,,
