BECKENHAM THE HALLS,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR6879,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,,,,3.35,,,,,,
February,,,,,,0.93,,,,,,
March,,,,,,0.48,,,,,,
April,,,,,,1.73,,,,,,
May,,,,,,0.97,,,,,,
June,,,,,,2.23,,,,,,
July,,,,,,4.84,,,,,,
August,,,,,,2.75,,,,,,
September,,,,,,2.89,,,,,,
October,,,,,4.36,4.15,,,,,,
November,,,,,2.70,3.07,,,,,,
December,,,,,1.48,1.19,,,,,,
Total,,,,,22.61,28.58,,,,,,
Calc annual,0.00,0.00,0.00,0.00,8.54,28.58,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,14.07,-0.00,NaN,NaN,NaN,NaN,,
