"MONKSTOWN, DUBLIN",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4011,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,,1.26,1.83,2.16,1.67,1.03,1.08,,,,,
February,,1.52,0.60,0.26,0.51,1.61,1.19,,,,,
March,,1.92,2.30,1.04,2.47,1.03,1.63,1.42,,,,
April,,1.16,2.17,0.60,0.65,1.28,1.32,1.49,,,,
May,,0.26,2.03,0.52,1.41,3.15,1.19,1.91,,,,
June,,2.88,2.20,1.60,1.01,0.48,2.95,0.40,,,,
July,,3.22,2.20,0.87,0.54,2.71,0.81,1.92,,,,
August,,2.23,2.05,2.41,1.15,3.51,1.80,1.13,,,,
September,,3.00,1.30,1.78,1.57,0.04,1.48,0.98,,,,
October,,1.33,1.40,4.06,4.37,2.86,1.72,1.70,,,,
November,,1.41,1.25,1.84,2.03,2.59,0.82,1.20,,,,
December,,0.82,1.43,1.21,2.05,-999.00,0.81,0.59,,,,
Total,,21.01,20.76,18.35,19.43,22.09,16.80,,,,,
Calc annual,0.00,21.01,20.76,18.35,19.43,20.29,16.80,12.74,0.00,0.00,,
Difference,NaN,0.00,0.00,0.00,-0.00,1.80,0.00,NaN,NaN,NaN,,
