"MONKSTOWN",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4011,,,,,,,,,,,
,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,
January,4.63,2.15,3.99,3.75,3.21,2.62,2.59,3.90,3.76,4.63,,
February,0.50,3.77,1.34,0.48,1.04,2.70,2.30,2.14,1.57,1.50,,
March,1.94,3.17,3.08,2.12,3.59,1.58,4.15,5.07,2.10,2.91,,
April,2.08,1.46,2.89,0.89,0.78,1.75,2.11,2.48,1.86,1.43,,
May,2.15,0.33,2.34,0.96,1.88,3.77,1.58,3.07,1.10,5.73,,
June,5.18,3.13,3.24,2.22,1.36,0.56,3.73,0.48,0.99,1.16,,
July,2.04,4.99,2.85,0.92,0.68,3.08,0.89,2.56,0.87,0.49,,
August,5.10,2.82,2.37,2.88,1.59,4.52,2.22,1.53,4.50,1.23,,
September,1.99,3.96,1.75,2.43,1.75,0.06,2.70,1.31,3.16,4.73,,
October,2.04,1.97,2.42,6.71,6.27,4.12,2.74,2.50,1.00,1.31,,
November,2.28,2.50,2.06,2.25,4.21,4.03,1.33,1.29,3.48,2.19,,
December,3.33,1.64,2.92,1.82,2.67,3.35,1.71,1.06,6.20,3.14,,
Total,33.26,31.89,31.25,27.43,29.03,32.14,28.05,27.39,30.59,30.45,,
Calc annual,33.26,31.89,31.25,27.43,29.03,32.14,28.05,27.39,30.59,30.45,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
