BLAKESWARE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,958/7,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,,1.66,2.22,1.94,1.85,3.92,0.94,1.28,,
February,,,,0.99,1.55,2.81,1.54,1.21,1.15,3.67,,
March,,,,0.10,0.81,1.34,5.49,0.83,0.79,0.84,,
April,,,,1.44,1.32,1.38,1.97,1.53,1.97,2.12,,
May,,,1.71,0.92,2.35,1.94,0.80,1.41,1.81,1.77,,
June,,,1.85,1.97,1.89,1.99,2.77,2.39,0.61,1.44,,
July,,,1.31,2.05,3.08,3.02,1.98,1.45,1.83,3.30,,
August,,,1.28,3.12,0.99,4.04,0.05,3.01,1.44,2.27,,
September,,,1.36,2.52,2.26,4.01,1.44,1.32,0.33,3.07,,
October,,,2.17,3.46,2.56,1.04,0.09,2.01,5.19,0.40,,
November,,,1.59,3.24,0.28,4.38,1.04,1.31,2.34,5.06,,
December,,,1.58,1.29,3.63,1.92,2.58,2.55,1.63,1.56,,
Total,,,,22.76,22.94,29.81,21.60,22.94,20.03,26.78,,
Calc annual,0.00,0.00,12.85,22.76,22.94,29.81,21.60,22.94,20.03,26.78,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
