DARLINGTON LANGHOLME CRESCENT,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7493,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,,1.09,1.78,1.66,4.13,1.07,1.90,0.95,2.29,,
February,,,1.98,2.22,3.02,1.11,0.54,1.80,1.30,1.55,,
March,,,0.87,0.52,0.89,2.24,1.96,2.73,1.95,1.12,,
April,,,0.80,0.50,1.76,1.79,0.86,1.74,2.42,2.59,,
May,,,3.19,2.23,2.83,1.03,0.52,1.83,1.59,3.75,,
June,,,3.49,0.85,3.71,1.86,3.19,2.52,2.64,1.83,,
July,,,1.35,2.47,1.89,5.84,2.41,1.13,1.20,2.27,,
August,,,4.10,1.90,2.38,2.34,1.50,2.80,2.35,1.16,,
September,,,2.10,1.88,0.70,0.79,3.36,1.87,0.28,3.02,,
October,,,4.49,0.96,4.86,3.95,4.11,1.82,3.32,2.09,,
November,,,1.14,2.29,1.01,3.09,1.32,1.87,2.49,1.81,,
December,,,0.92,2.17,1.48,2.00,3.78,2.38,1.70,,,
Total,,,25.52,19.77,26.19,30.17,24.62,24.39,22.19,,,
Calc annual,0.00,0.00,25.52,19.77,26.19,30.17,24.62,24.39,22.19,23.48,,
Difference,NaN,NaN,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
