HEMSWORTH COLLIERIES,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7898,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,4.31,3.30,1.02,2.36,0.73,3.00,1.84,2.47,,
February,,,1.50,0.57,1.25,2.57,4.01,0.56,1.80,2.08,,
March,,,2.36,2.41,1.76,0.86,4.21,2.32,1.01,3.82,,
April,,,0.23,2.52,0.85,0.81,0.82,2.37,1.10,1.72,,
May,,,3.75,2.27,1.53,1.25,2.29,2.11,2.64,0.89,,
June,,,3.72,0.48,1.75,0.85,0.76,2.38,1.41,0.87,,
July,,,4.17,0.94,2.89,3.60,1.02,0.56,3.81,4.61,,
August,,,5.50,1.21,1.23,2.65,2.25,4.64,1.59,2.38,,
September,,,1.17,2.57,0.83,0.84,2.14,0.73,5.47,1.90,,
October,,,2.32,3.21,2.10,1.11,2.90,3.35,1.62,3.09,,
November,,,1.52,1.42,2.48,2.10,2.94,0.92,1.05,1.71,,
December,,,1.50,1.36,4.45,4.97,2.12,1.34,3.69,3.42,,
Total,,,32.05,22.26,22.14,23.97,26.19,24.28,27.03,28.96,,
Calc annual,0.00,0.00,32.05,22.26,22.14,23.97,26.19,24.28,27.03,28.96,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
