RICCARTON,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7168,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,8.16,9.78,5.56,,3.63,,,,,
February,,,4.64,1.23,3.08,,5.39,,,,,
March,,,3.72,2.15,3.14,,4.70,,,,,
April,,,3.42,0.48,4.59,,2.84,,,,,
May,,,3.89,2.19,2.20,,0.91,,,,,
June,,,3.99,2.28,0.88,,4.38,,,,,
July,,,5.08,6.47,3.56,,1.93,,,,,
August,,,4.16,6.41,5.87,,4.45,,,,,
September,,,5.83,4.90,4.20,,2.66,,,,,
October,,,6.89,5.34,10.03,,3.14,,,,,
November,,,7.58,3.95,3.38,,3.39,,,,,
December,,,6.02,2.99,4.43,,9.04,,,,,
Total,,,63.38,48.17,50.92,42.49,46.46,,,,,
Calc annual,0.00,0.00,63.38,48.17,50.92,0.00,46.46,0.00,0.00,0.00,,
Difference,NaN,NaN,0.00,-0.00,0.00,42.49,0.00,NaN,NaN,NaN,,
