STOODLEIGH (COURT GARDENS),,,,,,,,,,,,
Grid ref,SS916185,Long,-3.544725,Lat,50.955701,,,,,,,
Station no,1797/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,4.94,,
February,,,,,,,,,,4.27,,
March,,,,,,,,,,2.98,,
April,,,,,,,,,,4.04,,
May,,,,,,,,,1.77,1.89,,
June,,,,,,,,,2.27,1.66,,
July,,,,,,,,,3.20,7.29,,
August,,,,,,,,,3.88,4.01,,
September,,,,,,,,,0.71,5.24,,
October,,,,,,,,,5.47,12.86,,
November,,,,,,,,,7.50,5.73,,
December,,,,,,,,,12.32,7.56,,
Total,,,,,,,,,,62.47,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.12,62.47,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
