"BARDON MILL, BELTINGHAM VICARAGE",,,,,,,,,,,,
Grid ref,NY789638,Long,-2.331113,Lat,54.968371,,,,,,,
Station no,RR4802,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,2.16,4.28,2.54,0.88,3.64,0.83,2.17,2.39,,
February,,,1.12,4.98,2.21,1.22,1.30,1.46,3.33,2.87,,
March,,,2.04,3.65,2.24,2.48,2.03,2.73,3.68,4.11,,
April,,,1.44,1.84,2.88,4.15,1.19,2.29,2.10,2.22,,
May,,,2.19,2.62,2.56,0.75,4.75,3.91,2.34,1.06,,
June,,,1.75,1.66,1.12,1.34,1.93,2.92,0.87,3.02,,
July,,,2.64,4.99,1.54,1.19,1.87,2.28,2.48,3.53,,
August,,,2.10,3.66,3.17,3.91,4.71,2.79,2.58,2.72,,
September,,,1.03,3.33,0.63,2.30,1.10,0.41,3.26,2.33,,
October,,2.26,3.37,9.23,0.67,2.47,4.87,6.52,2.75,3.58,,
November,,5.87,1.24,2.16,3.74,3.36,3.35,1.47,2.06,1.19,,
December,,4.24,3.46,1.87,1.88,1.12,2.79,3.91,1.40,3.75,,
Total,,,24.54,44.27,25.18,25.17,33.53,31.52,29.02,32.77,,
Calc annual,0.00,12.37,24.54,44.27,25.18,25.17,33.53,31.52,29.02,32.77,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
