"FERNILEE (OLDFIELD FARM)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2643/6/1,,,,,,,,,,,
,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,8.11,5.82,3.31,4.41,4.37,4.45,5.00,,,,,
February,6.16,0.35,6.50,0.42,6.52,3.40,6.71,,,,,
March,0.43,3.77,3.52,4.24,1.76,2.78,3.10,,,,,
April,5.76,5.90,1.99,2.86,4.01,1.56,4.60,,,,,
May,3.09,5.63,2.26,3.61,0.74,0.39,2.40,,,,,
June,5.41,0.85,4.83,3.05,5.18,3.63,1.55,,,,,
July,5.21,4.44,3.78,3.50,1.83,6.43,4.05,,,,,
August,7.05,1.99,1.51,3.82,2.26,2.56,2.45,,,,,
September,4.57,4.16,0.73,4.02,7.08,5.16,0.90,,,,,
October,2.46,9.23,6.40,7.22,9.07,5.97,2.35,,,,,
November,6.70,4.13,2.23,1.88,6.60,5.62,1.75,,,,,
December,2.54,1.90,0.54,6.84,4.84,5.36,3.40,,,,,
Total,57.49,48.17,37.60,45.87,54.26,47.31,38.26,,,,,
Calc annual,57.49,48.17,37.60,45.87,54.26,47.31,38.26,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,,
