SHELSLEY WALSH,,,,,,,,,,,,
Grid ref,SO721630,Long,-2.410229,Lat,52.264448,,,,,,,
Station no,RR7874,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.16,4.53,1.38,1.00,1.38,,
February,,,,,,1.21,2.28,1.06,1.66,0.60,,
March,,,,,,4.20,1.50,1.13,3.55,3.13,,
April,,,,,,2.52,1.53,2.37,3.47,2.39,,
May,,,,,,0.46,2.63,2.79,2.60,1.21,,
June,,,,,,4.32,3.71,2.99,3.06,3.75,,
July,,,,,,0.85,0.62,2.90,2.21,3.46,,
August,,,,,,5.45,1.46,2.62,3.55,2.26,,
September,,,,,,1.52,0.94,0.45,2.32,3.68,,
October,,,,,,1.97,5.74,8.37,1.88,4.18,,
November,,,,,,3.06,2.91,2.69,1.56,1.07,,
December,,,,,,0.95,2.72,3.54,2.54,4.52,,
Total,,,,,,27.67,30.57,32.29,29.40,31.63,,
Calc annual,0.00,0.00,0.00,0.00,0.00,27.67,30.57,32.29,29.40,31.63,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,0.00,0.00,,
