"NEWTYLE, OLD CHEMICAL WORKS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5574/5,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,4.00,,,,,
July,,,,,,,2.92,,,,,
August,,,,,,,1.96,,,,,
September,,,,,,,3.74,,,,,
October,,,,,,,4.99,,,,,
November,,,,,,,8.13,,,,,
December,,,,,,,0.32,,,,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,26.06,0.00,0.00,0.00,0.00,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
