CUBLEY PUMPING STATION,,,,,,,,,,,,
Grid ref,SK171380,Long,-1.747007,Lat,52.939125,,,,,,,
Station no,2647/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,2.51,2.27,5.39,,
February,,,,,,,,4.47,0.31,2.50,,
March,,,,,,,,1.69,1.38,1.84,,
April,,,,,,,,0.68,2.65,1.18,,
May,,,,,,,,2.85,0.53,1.89,,
June,,,,,,,,4.10,1.18,3.93,,
July,,,,,,,,4.49,1.29,3.22,,
August,,,,,,,,2.04,0.56,4.08,,
September,,,,,,,,3.72,0.10,5.37,,
October,,,,,,,1.90,2.96,1.91,5.78,,
November,,,,,,,2.00,1.64,3.35,3.92,,
December,,,,,,,2.09,3.41,4.00,3.26,,
Total,,,,,,,,34.56,19.53,42.36,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,5.99,34.56,19.53,42.36,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
