BOVEY TRACEY BLENHEIM HOUSE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR8535,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,,,4.40,8.61,1.17,4.57,2.50,1.38,5.62,7.82,,
February,,,3.57,2.76,7.35,9.78,7.99,0.90,2.47,7.39,,
March,,,7.28,6.53,7.13,0.75,3.97,4.90,1.71,6.14,,
April,,,0.14,5.95,1.68,0.66,0.67,1.77,2.92,2.60,,
May,,,1.46,3.50,1.81,3.38,1.85,2.60,1.20,1.18,,
June,,,4.81,0.59,1.66,1.42,2.17,3.96,0.99,0.89,,
July,,,2.66,0.16,4.05,3.23,0.94,1.57,4.13,1.13,,
August,,,7.81,0.76,2.34,1.91,4.87,6.59,2.85,3.45,,
September,,,1.34,2.42,2.23,0.65,3.23,1.69,7.62,2.42,,
October,,,6.54,5.05,3.77,6.56,8.23,6.39,2.46,1.70,,
November,,,2.61,4.36,7.74,3.21,6.94,2.43,4.66,3.97,,
December,,,6.47,2.65,12.92,14.51,4.07,1.52,5.76,7.94,,
Total,,,49.09,43.34,53.85,50.63,47.43,35.70,42.39,46.63,,
Calc annual,0.00,0.00,49.09,43.34,53.85,50.63,47.43,35.70,42.39,46.63,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
