SOUTH BRENT (MILLSWOOD),,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1676/8,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,7.07,8.71,12.65,7.58,4.76,7.33,6.38,13.60,,,,
February,8.34,0.57,3.40,1.98,7.04,6.24,3.54,3.44,,,,
March,6.03,6.26,1.87,0.29,2.92,4.05,14.40,3.32,,,,
April,1.46,2.31,1.95,4.15,1.55,3.04,5.08,3.47,,,,
May,4.20,8.10,5.97,0.86,4.45,6.49,2.97,3.24,,,,
June,2.69,0.43,2.30,5.07,6.61,6.44,5.02,3.20,,,,
July,1.05,3.05,5.11,5.76,4.11,2.57,3.95,2.78,,,,
August,7.30,6.73,5.55,4.13,4.06,7.13,1.99,5.60,,,,
September,0.64,5.29,6.79,3.39,5.16,9.83,3.13,4.31,,,,
October,2.70,5.84,6.21,7.77,7.01,2.99,1.93,5.72,,,,
November,3.70,1.44,4.24,13.13,1.57,12.78,5.39,3.15,,,,
December,5.79,9.36,5.39,6.01,9.00,7.89,5.38,10.03,,,,
Total,50.97,58.09,61.43,60.12,58.24,76.78,59.16,61.86,,,,
Calc annual,50.97,58.09,61.43,60.12,58.24,76.78,59.16,61.86,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,,
