"MASHAM MOOR ROUNDHILLS FARM NO. 2",,,,,,,,,,,,
Grid ref,SE148766,Long,-1.774714,Lat,54.184964,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,5.23,4.45,1.27,5.19,1.30,2.33,1.62,,
February,,,,4.92,4.16,2.06,2.71,2.07,2.63,1.17,,
March,,,,7.57,2.76,2.92,2.57,2.57,5.19,5.19,,
April,,,,1.79,2.71,3.20,0.69,1.91,2.31,3.04,,
May,,,,4.59,3.32,0.51,3.78,3.99,2.61,1.88,,
June,,,,2.22,1.79,1.56,1.38,4.62,2.86,3.42,,
July,,,,3.32,1.85,0.59,0.92,2.28,3.34,2.86,,
August,,,,4.16,3.65,3.95,3.09,1.64,3.00,3.34,,
September,,,,5.01,1.45,2.39,0.59,0.41,4.79,2.10,,
October,,,,9.58,1.12,1.82,5.77,7.10,2.23,3.78,,
November,,,,1.52,2.56,6.44,4.02,2.64,2.40,1.42,,
December,,,,3.42,2.05,1.07,2.60,5.04,1.96,6.43,,
Total,,,,53.33,31.87,27.78,33.31,35.57,35.65,36.25,,
Calc annual,0.00,0.00,0.00,53.33,31.87,27.78,33.31,35.57,35.65,36.25,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
