"BEATON FELL BARNSFOLD RESERVOIR",,,,,,,,,,,,
Grid ref,SD576415,Long,-2.646270,Lat,53.867968,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.16,1.47,2.21,3.76,3.20,2.06,4.21,2.05,3.03,1.94,,
February,3.01,1.72,1.87,3.40,2.65,1.90,2.72,1.64,2.66,1.90,,
March,0.25,2.38,3.07,3.56,2.90,3.20,3.20,4.00,2.56,2.74,,
April,1.83,1.82,1.54,1.93,2.41,2.66,1.70,1.55,2.12,4.45,,
May,1.45,0.92,3.23,3.00,3.12,0.81,4.86,3.39,2.49,2.15,,
June,2.62,1.75,0.95,1.67,1.61,2.97,1.93,8.11,2.34,2.70,,
July,2.61,1.06,4.81,4.50,1.75,3.08,2.27,4.05,6.12,6.64,,
August,5.02,2.96,3.23,5.31,4.61,4.77,3.75,5.93,4.32,3.66,,
September,2.21,1.28,1.49,4.82,1.86,3.65,1.36,0.93,6.03,3.03,,
October,6.29,3.84,4.00,8.35,2.95,3.66,6.71,3.94,2.64,5.26,,
November,3.38,4.55,1.93,3.89,3.36,3.96,3.38,3.07,3.72,1.91,,
December,4.43,3.90,3.53,2.57,3.05,0.72,3.77,3.92,3.20,6.41,,
Total,37.26,27.65,31.86,46.76,33.47,33.44,39.86,42.58,41.23,42.79,,
Calc annual,37.26,27.65,31.86,46.76,33.47,33.44,39.86,42.58,41.23,42.79,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,,
