"WINSHILL BURTON TRENT COTTAGE",,,,,,,,,,,,
Grid ref,SK262238,Long,-1.612745,Lat,52.811114,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,1.75,1.06,1.98,1.98,1.05,,,,,,
February,,1.24,1.44,1.00,3.20,0.71,,,,,,
March,,2.10,1.35,3.19,1.44,2.78,,,,,,
April,1.21,1.74,2.44,1.68,1.56,1.57,,,,,,
May,1.67,0.94,3.13,2.80,1.66,0.38,,,,,,
June,3.12,2.48,1.71,1.29,0.54,1.95,,,,,,
July,3.53,3.15,1.39,2.45,2.62,1.91,,,,,,
August,4.38,2.24,4.16,4.55,3.43,4.82,,,,,,
September,1.14,1.10,1.57,2.83,1.97,1.43,,,,,,
October,2.72,1.79,2.28,5.40,0.84,1.46,,,,,,
November,2.41,1.49,1.64,2.25,1.07,2.70,,,,,,
December,4.13,4.65,1.79,1.45,1.44,0.66,,,,,,
Total,,24.67,23.96,30.87,21.75,21.42,,,,,,
Calc annual,24.31,24.67,23.96,30.87,21.75,21.42,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
