"GODALMING BUSBRIDGE PARK",,,,,,,,,,,,
Grid ref,SU975421,Long,-0.606804,Lat,51.169842,,,,,,,
Station no,ZZ999,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,,,
August,,,,,,,,,,,,
September,,,,,,,,,,,,
October,,,,,,,,,,6.26,,
November,,,,,,,,,,,,
December,,,,,,,,,,,,
Total,,,,,,,,,,32.15,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.26,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.89,,
