"BANSTEAD BURGH HEATH RESERVOIR",,,,,,,,,,,,
Grid ref,TQ237580,Long,-0.226741,Lat,51.307683,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,1.34,4.88,,,,,
February,,,,,,1.09,2.43,,,,,
March,,,,,,4.39,1.31,,,,,
April,,,,,,2.07,0.48,,,,,
May,,,,,,1.18,1.43,,,,,
June,,,,,,5.16,2.57,,,,,
July,,,,,,1.57,0.52,,,,,
August,,,,,,3.27,0.68,,,,,
September,,,,,,2.35,1.77,,,,,
October,,,,,,1.76,4.34,,,,,
November,,,,,,4.71,5.01,,,,,
December,,,,,,0.87,1.61,,,,,
Total,,,,,,29.76,27.03,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,29.76,27.03,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,NaN,NaN,NaN,,
