"FAILAND HOUSE [BRISTOL]",,,,,,,,,,,,
Grid ref,ST516734,Long,-2.698004,Lat,51.457497,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.62,1.88,1.99,4.29,3.64,,,,,,,
February,5.51,0.92,0.74,1.76,3.83,0.68,,,,,,
March,0.97,2.25,1.71,4.24,1.48,4.21,,,,,,
April,1.36,2.98,1.42,3.14,2.15,2.52,,,,,,
May,1.96,1.19,1.96,2.82,2.74,0.09,,,,,,
June,2.21,1.98,3.11,3.44,1.64,4.03,,,,,,
July,1.04,2.85,1.39,1.55,3.57,0.81,,,,,,
August,3.00,2.70,3.87,4.08,3.51,3.40,,,,,,
September,1.11,1.70,2.14,3.28,1.56,1.16,,,,,,
October,4.39,1.79,2.68,7.57,1.50,1.98,,,,,,
November,3.13,0.43,2.58,1.80,2.02,2.35,,,,,,
December,5.84,5.16,3.01,2.86,,0.95,,,,,,
Total,35.14,25.83,26.60,40.83,,,,,,,,
Calc annual,35.14,25.83,26.60,40.83,27.64,22.18,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
