"UTTOXETER DEAMDALES AND GREENFIELDS",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4235,,,,,,,,,,,
,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,2.49,0.94,4.84,4.11,1.71,3.57,1.72,2.31,1.99,3.32,,
February,2.71,1.84,1.45,0.83,2.04,2.33,4.02,1.10,2.43,1.91,,
March,0.90,1.70,4.02,4.45,3.43,1.08,3.28,2.09,1.53,4.82,,
April,2.68,1.56,0.46,3.70,1.07,0.97,2.14,1.39,1.17,1.86,,
May,2.58,0.60,2.29,2.17,1.76,1.63,1.93,3.44,1.97,1.88,,
June,1.66,2.51,4.65,1.76,1.71,1.19,2.43,2.04,1.30,1.55,,
July,3.22,0.38,2.97,1.01,5.04,5.90,1.84,1.55,5.00,3.99,,
August,4.25,1.64,7.96,2.15,2.88,2.66,3.04,5.27,2.99,2.28,,
September,0.26,2.06,1.58,2.08,2.08,0.78,1.70,1.56,7.38,2.12,,
October,1.84,2.14,3.51,3.64,2.10,2.73,3.44,4.88,1.48,3.11,,
November,5.97,2.52,2.89,2.41,4.01,2.38,2.50,2.59,2.03,2.44,,
December,5.00,4.67,3.07,1.55,5.78,5.43,2.93,1.29,4.32,5.15,,
Total,33.56,22.56,39.69,29.86,33.61,30.65,30.97,29.51,33.59,34.43,,
Calc annual,33.56,22.56,39.69,29.86,33.61,30.65,30.97,29.51,33.59,34.43,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
