"LUMPHANAN",,,,,,,,,,,,
Grid ref,NJ575036,Long,-2.703520,Lat,57.121359,,,,,,,
Station no,5639,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.81,1.72,1.32,4.67,2.69,2.10,2.75,4.25,,
February,,,1.25,3.43,3.26,2.10,2.71,3.86,0.30,3.20,,
March,,,0.29,2.94,2.11,1.87,2.34,4.49,1.18,2.90,,
April,,,3.67,0.89,0.84,1.68,1.98,2.21,2.36,1.30,,
May,,,1.40,3.63,3.92,0.50,2.84,3.53,1.32,0.70,,
June,,,3.50,1.75,1.08,2.32,2.05,3.06,2.56,1.50,,
July,,,4.31,2.64,0.65,4.43,5.47,6.63,1.88,2.80,,
August,,,1.77,3.76,0.36,3.84,4.40,4.55,0.84,5.45,,
September,,,2.06,1.26,1.95,4.06,2.43,1.78,0.65,3.00,,
October,,,1.76,4.96,4.42,2.36,1.15,1.41,4.14,9.30,,
November,,,1.45,6.06,1.71,1.28,2.74,0.75,7.11,4.70,,
December,,,2.87,5.10,4.99,4.32,4.91,5.73,5.81,2.07,,
Total,,,26.14,38.14,26.61,33.43,35.71,40.10,30.90,41.17,,
Calc annual,0.00,0.00,26.14,38.14,26.61,33.43,35.71,40.10,30.90,41.17,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
